# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.01%  pgrep            libc-2.27.so                             [.] __GI___libc_open
     0.01%  pgrep            [kernel.kallsyms]                        [k] memcg_kmem_put_cache
     0.01%  pgrep            libc-2.27.so                             [.] __strchrnul_avx2
     0.01%  pgrep            [kernel.kallsyms]                        [k] task_work_add
     0.01%  stremio          [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.01%  pgrep            [kernel.kallsyms]                        [k] free_pcp_prepare
     0.01%  node             node                                     [.] _ZNK2v88internal9PreParser9GetSymbolEv
     0.01%  pgrep            [unknown]                                [k] 0xfffffe000005e01b
     0.01%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006587
     0.01%  pgrep            [kernel.kallsyms]                        [k] sys_close
     0.01%  pgrep            libprocps.so.6.0.0                       [.] 0x00000000000065c4
     0.01%  pgrep            [kernel.kallsyms]                        [k] get_task_mm
     0.01%  pgrep            [kernel.kallsyms]                        [k] security_file_permission
     0.01%  pgrep            [kernel.kallsyms]                        [k] memcpy
     0.01%  Web Content      [kernel.kallsyms]                        [k] seccomp_run_filters
     0.01%  chrome           [kernel.kallsyms]                        [k] cpuacct_charge
     0.01%  pgrep            [kernel.kallsyms]                        [k] filp_close
     0.01%  node             node                                     [.] _ZNKSt8_Rb_treeISt5tupleIJN2v88internal16FeedbackSlotKindEiPKvEESt4pairIKS6_NS2_12FeedbackSlotEESt10_Select1stISA_ESt4lessIS6_ENS2_13ZoneAllocatorISA_EEE4findERS8_
     0.01%  pgrep            [unknown]                                [k] 0xfffffe000008a01b
     0.01%  chrome           libpthread-2.27.so                       [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.01%  pgrep            [kernel.kallsyms]                        [k] generic_permission
     0.01%  node             [kernel.kallsyms]                        [k] sys_write
     0.01%  pgrep            [kernel.kallsyms]                        [k] strncpy_from_user
     0.01%  node             [kernel.kallsyms]                        [k] up_read
     0.01%  teamviewerd      [kernel.kallsyms]                        [k] __d_lookup
     0.01%  pgrep            [kernel.kallsyms]                        [k] memset_erms
     0.01%  node             [kernel.kallsyms]                        [k] __alloc_pages_nodemask
     0.01%  xtl-netreq-4     libpthread-2.27.so                       [.] __pthread_mutex_unlock
     0.01%  pgrep            [kernel.kallsyms]                        [k] alloc_set_pte
     0.01%  swapper          [kernel.kallsyms]                        [k] memchr_inv
     0.01%  sleep            libc-2.27.so                             [.] _dl_addr
     0.01%  swapper          [kernel.kallsyms]                        [k] pick_next_task_fair
     0.01%  90captive_porta  [kernel.kallsyms]                        [k] filemap_map_pages
     0.01%  chrome           [kernel.kallsyms]                        [k] do_sys_poll
     0.01%  swapper          [kernel.kallsyms]                        [k] pick_next_entity
     0.01%  node             node                                     [.] _ZN4node14options_parser13OptionsParserINS_17PerProcessOptionsEE6InsertINS_17PerIsolateOptionsEEEvPKNS1_IT_EEMS2_FPS6_vE
     0.01%  node             node                                     [.] _ZNK2v88internal8compiler11UsePosition12HintRegisterEPi
     0.01%  swapper          [kernel.kallsyms]                        [k] native_read_msr
     0.01%  gnome-shell      libmutter-cogl-2.so                      [.] cogl_object_unref
     0.01%  pgrep            [kernel.kallsyms]                        [k] proc_fill_cache
     0.01%  Chrome_IOThread  [kernel.kallsyms]                        [k] _raw_spin_unlock_irqrestore
     0.01%  Compositor       libc-2.27.so                             [.] malloc
     0.01%  pgrep            [kernel.kallsyms]                        [k] set_root
     0.01%  swapper          [kernel.kallsyms]                        [k] update_curr
     0.01%  sleep            ld-2.27.so                               [.] do_lookup_x
     0.01%  swapper          [kernel.kallsyms]                        [k] hrtimer_start_range_ns
     0.01%  swapper          [kernel.kallsyms]                        [k] kmem_cache_free
     0.01%  pgrep            [kernel.kallsyms]                        [k] perf_event_mmap
     0.01%  swapper          [kernel.kallsyms]                        [k] rcu_eqs_enter_common.constprop.71
     0.01%  stremio          [kernel.kallsyms]                        [k] sock_poll
     0.01%  Compositor       [kernel.kallsyms]                        [k] __schedule
     0.01%  stremio          libc-2.27.so                             [.] cfree@GLIBC_2.2.5
     0.01%  pgrep            [kernel.kallsyms]                        [k] filldir
     0.01%  Web Content      ld-2.27.so                               [.] __tls_get_addr
     0.01%  stremio          libQt5Core.so.5.9.5                      [.] _ZN16QCoreApplication15notifyInternal2EP7QObjectP6QEvent
     0.01%  swapper          [kernel.kallsyms]                        [k] rb_erase_cached
     0.01%  gnome-shell      [kernel.kallsyms]                        [k] eb_lookup_vmas
     0.01%  swapper          [kernel.kallsyms]                        [k] __remove_hrtimer
     0.01%  xtl-netreq-4     dropbox                                  [.] _PyType_Lookup
     0.01%  Timer            [kernel.kallsyms]                        [k] cleanup_module
     0.01%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x00000000017bd407
     0.01%  node             [kernel.kallsyms]                        [k] nf_ct_get_tuple
     0.01%  swapper          [kernel.kallsyms]                        [k] ktime_get
     0.01%  node             node                                     [.] _ZN2v88internal12DeserializerINS0_28DefaultDeserializerAllocatorEE10ReadObjectEiPPNS0_11MaybeObjectENS0_23HeapObjectReferenceTypeE
     0.01%  chrome           chrome                                   [.] 0x0000000003f5f4e0
     0.01%  swapper          [kernel.kallsyms]                        [k] find_first_bit
     0.01%  Chrome_IOThread  [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.01%  Chrome_ChildIOT  chrome                                   [.] 0x0000000002551260
     0.01%  node             node                                     [.] _ZN2v88internal11StoreBuffer26MoveEntriesToRememberedSetEi
     0.01%  chrome           [kernel.kallsyms]                        [k] eventfd_poll
     0.01%  Xorg             [kernel.kallsyms]                        [k] switch_mm_irqs_off
     0.01%  teamviewerd      [kernel.kallsyms]                        [k] __ptrace_may_access
     0.01%  swapper          [kernel.kallsyms]                        [k] enqueue_entity
     0.01%  Chrome_IOThread  libc-2.27.so                             [.] cfree@GLIBC_2.2.5
     0.01%  Chrome_IOThread  chrome                                   [.] 0x0000000003f68cc0
     0.01%  sleep            [kernel.kallsyms]                        [k] unmap_page_range
     0.01%  Chrome_ChildIOT  [kernel.kallsyms]                        [k] __schedule
     0.01%  swapper          [kernel.kallsyms]                        [k] nr_iowait_cpu
     0.01%  chrome           chrome                                   [.] 0x0000000003ed740f
     0.01%  pgrep            [kernel.kallsyms]                        [k] handle_pte_fault
     0.01%  swapper          [kernel.kallsyms]                        [k] reweight_entity
     0.01%  chrome           libc-2.27.so                             [.] __uselocale
     0.01%  stremio          libglib-2.0.so.0.5600.3                  [.] g_mutex_lock
     0.01%  chrome           chrome                                   [.] 0x0000000003ed7d24
     0.01%  swapper          [kernel.kallsyms]                        [k] intel_pstate_update_util
     0.01%  chrome           chrome                                   [.] 0x0000000003f00fd0
     0.00%  Chrome_ChildIOT  chrome                                   [.] 0x0000000003f6a8fa
     0.00%  chrome           chrome                                   [.] 0x0000000004bc7053
     0.00%  Chrome_ChildIOT  libc-2.27.so                             [.] malloc
     0.00%  chrome           libc-2.27.so                             [.] __strncmp_sse42
     0.00%  xtl-netreq-4     dropbox                                  [.] call_function
     0.00%  Chrome_IOThread  chrome                                   [.] 0x00000000025424f1
     0.00%  stremio          [vdso]                                   [.] __vdso_clock_gettime
     0.00%  irqbalance       [kernel.kallsyms]                        [k] kmem_cache_alloc_trace
     0.00%  node             [kernel.kallsyms]                        [k] get_page_from_freelist
     0.00%  swapper          [kernel.kallsyms]                        [k] cpuidle_select
     0.00%  gnome-terminal-  [kernel.kallsyms]                        [k] __fget
     0.00%  gnome-terminal-  libxcb.so.1.1.0                          [.] xcb_connection_has_error
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5             [.] realloc@plt
     0.00%  stremio          libgdk-3.so.0.2200.30                    [.] XPending@plt
     0.00%  swapper          [kernel.kallsyms]                        [k] try_to_wake_up
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] unmap_page_range
     0.00%  kworker/4:3      [kernel.kallsyms]                        [k] node_tag_clear
     0.00%  swapper          [kernel.kallsyms]                        [k] finish_task_switch
