# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:ppp'
# Event count (approx.): 23039810842
#
# Overhead  Command          Shared Object                           Symbol                                                                                                                                                                                                          
# ........  ...............  ......................................  ................................................................................................................................................................................................................
#
     0.00%  Web Content      libxul.so                               [.] 0x00000000008e6e80
     0.00%  Web Content      libxul.so                               [.] 0x000000000108ce52
     0.00%  Compositor       [unknown]                               [k] 0xfffffe00000b601b
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] 0x00000000000495f0
     0.00%  Web Content      libxul.so                               [.] 0x00000000008de79d
     0.00%  stremio          [kernel.kallsyms]                       [k] update_curr
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001066a66
     0.00%  Web Content      libxul.so                               [.] 0x000000000419d55f
     0.00%  Chrome_IOThread  chrome                                  [.] 0x000000000253fd94
     0.00%  chrome           chrome                                  [.] 0x0000000003ec21da
     0.00%  Xorg             [kernel.kallsyms]                       [k] update_rq_clock
     0.00%  Web Content      libxul.so                               [.] 0x000000000088cda2
     0.00%  WebExtensions    libxul.so                               [.] 0x0000000000d6cdfa
     0.00%  sublime_text     libc-2.27.so                            [.] __libc_calloc
     0.00%  Xorg             [kernel.kallsyms]                       [k] ep_poll
     0.00%  Chrome_IOThread  libevent-2.1.so.6.0.2                   [.] 0x00000000000292c0
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x000000000083e8c0
     0.00%  teamviewerd      [kernel.kallsyms]                       [k] kernfs_seq_stop_active
     0.00%  chrome           chrome                                  [.] 0x00000000037a5a31
     0.00%  chrome           chrome                                  [.] 0x00000000037a3293
     0.00%  stremio          [kernel.kallsyms]                       [k] do_sys_poll
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_value_set_string
     0.00%  jetbrains-toolb  libcef.so                               [.] 0x0000000004131cb0
     0.00%  plugin_host      plugin_host                             [.] PyDict_GetItem
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x000000000004d033
     0.00%  irq/32-iwlwifi   [kernel.kallsyms]                       [k] iwl_pcie_rx_handle
     0.00%  chrome           chrome                                  [.] 0x00000000037a7160
     0.00%  plugin_host      libc-2.27.so                            [.] cfree@GLIBC_2.2.5
     0.00%  Xorg             [kernel.kallsyms]                       [k] ep_scan_ready_list.constprop.17
     0.00%  Compositor       chrome                                  [.] 0x0000000002b4a955
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000017c4a30
     0.00%  chrome           chrome                                  [.] 0x0000000001a5446a
     0.00%  Web Content      libxul.so                               [.] 0x00000000008528d0
     0.00%  chrome           chrome                                  [.] 0x00000000019b5b39
     0.00%  Compositor       [kernel.kallsyms]                       [k] entry_SYSCALL_64_after_hwframe
     0.00%  stremio          [kernel.kallsyms]                       [k] pipe_write
     0.00%  Compositor       chrome                                  [.] cfree
     0.00%  TaskSchedulerFo  [kernel.kallsyms]                       [k] page_mapping
     0.00%  kworker/7:2      [kernel.kallsyms]                       [k] smp_call_function_many
     0.00%  Xorg             Xorg                                    [.] LastEventTime
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000146fe1
     0.00%  chrome           chrome                                  [.] 0x0000000002536e90
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] __schedule
     0.00%  Compositor       libpthread-2.27.so                      [.] pthread_mutexattr_destroy
     0.00%  node             node (deleted)                          [.] 0x000000000049f7b3
     0.00%  chrome           chrome                                  [.] 0x0000000002fb1dc0
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] memcg_kmem_put_cache
     0.00%  chrome           chrome                                  [.] 0x0000000006c55b40
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] propagate_entity_cfs_rq.isra.77
     0.00%  Timer            libxul.so                               [.] 0x00000000008e0a6b
     0.00%  stremio          [kernel.kallsyms]                       [k] __accumulate_pelt_segments
     0.00%  gnome-shell      libpango-1.0.so.0.4000.14               [.] pango_find_paragraph_boundary
     0.00%  chrome           chrome                                  [.] 0x0000000003efba20
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_has_mapped_clones
     0.00%  Web Content      [unknown]                               [k] 0xfffffe0000006014
     0.00%  Web Content      [kernel.kallsyms]                       [k] do_syscall_64
     0.00%  chrome           [unknown]                               [k] 0xfffffe000000601b
     0.00%  Compositor       [kernel.kallsyms]                       [k] do_syscall_64
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x000000000093f27c
     0.00%  stremio          libQt5XcbQpa.so.5.9.5                   [.] _ZN20QEventDispatcherGlib13processEventsE6QFlagsIN10QEventLoop17ProcessEventsFlagEE@plt
     0.00%  stremio          [kernel.kallsyms]                       [k] select_estimate_accuracy
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x000000000003f533
     0.00%  chrome           [kernel.kallsyms]                       [k] futex_wait
     0.00%  kworker/0:1      [kernel.kallsyms]                       [k] __indirect_thunk_start
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000004a1fca
     0.00%  Web Content      libglib-2.0.so.0.5600.3                 [.] g_main_context_check
     0.00%  Timer            [kernel.kallsyms]                       [k] cleanup_module
     0.00%  swapper          [kernel.kallsyms]                       [k] inc_deq
     0.00%  swapper          [kernel.kallsyms]                       [k] run_timer_softirq
     0.00%  chrome           [kernel.kallsyms]                       [k] _cond_resched
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000006cad1d
     0.00%  dbus-daemon      [kernel.kallsyms]                       [k] migrate_task_rq_fair
     0.00%  Web Content      perf-8921.map                           [.] 0x000024aead2692e1
     0.00%  sublime_text     libgobject-2.0.so.0.5600.3              [.] g_type_check_is_value_type
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] g_main_context_dispatch
     0.00%  Xorg             [kernel.kallsyms]                       [k] tick_sched_do_timer
     0.00%  Timer            [kernel.kallsyms]                       [k] update_curr
     0.00%  sublime_text     sublime_text                            [.] 0x000000000021cba4
     0.00%  sublime_text     libm-2.27.so                            [.] __sin_fma
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] fput
     0.00%  chrome           libc-2.27.so                            [.] __memset_avx2_erms
     0.00%  Chrome_IOThread  chrome                                  [.] 0x0000000003f9db06
     0.00%  stremio          libc-2.27.so                            [.] __libc_enable_asynccancel
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000006c9938
     0.00%  kworker/u16:68   [kernel.kallsyms]                       [k] intel_atomic_commit_tail
     0.00%  chrome           [kernel.kallsyms]                       [k] account_entity_enqueue
     0.00%  snapd            snapd                                   [.] 0x00000000006ee853
     0.00%  chrome           [kernel.kallsyms]                       [k] reweight_entity
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x00000000000205f0
     0.00%  Xorg             [kernel.kallsyms]                       [k] mutex_trylock
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000008360
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x000000000253778f
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000017d5520
     0.00%  kworker/6:1      [kernel.kallsyms]                       [k] schedule
     0.00%  Xorg             [kernel.kallsyms]                       [k] mem_cgroup_commit_charge
     0.00%  Chrome_IOThread  chrome                                  [.] 0x0000000003f9a3fd
     0.00%  VizCompositorTh  [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.00%  WebExtensions    libxul.so                               [.] 0x0000000003e4fbb1
     0.00%  VizCompositorTh  [kernel.kallsyms]                       [k] finish_task_switch
     0.00%  Xorg             [kernel.kallsyms]                       [k] do_iter_write
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] sock_wfree
     0.00%  Xorg             libc-2.27.so                            [.] malloc_consolidate
     0.00%  chrome           chrome                                  [.] 0x00000000073b6774
     0.00%  sublime_text     [kernel.kallsyms]                       [k] gup_pgd_range
     0.00%  pgrep            ld-2.27.so                              [.] memset
     0.00%  at-spi2-registr  [unknown]                               [k] 0xfffffe000000601b
     0.00%  JS Helper        libmozjs-52.so.0.0.0                    [.] 0x0000000000256187
     0.00%  Compositor       [kernel.kallsyms]                       [k] reweight_entity
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010be0e0
     0.00%  Timer            libpthread-2.27.so                      [.] _pthread_cleanup_pop
     0.00%  teamviewerd      [kernel.kallsyms]                       [k] tty_mode_ioctl
     0.00%  node             node (deleted)                          [.] 0x00000000004a6500
     0.00%  swapper          [kernel.kallsyms]                       [k] __wake_up_common
     0.00%  chrome           chrome                                  [.] 0x00000000073b80ac
     0.00%  sublime_text     [kernel.kallsyms]                       [k] sys_poll
     0.00%  TaskSchedulerFo  [vdso]                                  [.] __vdso_clock_gettime
     0.00%  Compositor       [kernel.kallsyms]                       [k] __schedule
     0.00%  kworker/5:1      [kernel.kallsyms]                       [k] page_mapping
     0.00%  swapper          [kernel.kallsyms]                       [k] cpu_load_update_active
     0.00%  chrome           chrome                                  [.] 0x0000000001a1f9b8
     0.00%  Web Content      libxul.so                               [.] 0x00000000008e21fd
     0.00%  LIST_LEGACY      dropbox                                 [.] call_function
     0.00%  Chrome_IOThread  chrome                                  [.] 0x0000000004449692
     0.00%  chrome           [kernel.kallsyms]                       [k] common_file_perm
     0.00%  chrome           chrome                                  [.] 0x0000000004bcf950
     0.00%  Web Content      libxul.so                               [.] 0x00000000041140ad
     0.00%  sublime_text     sublime_text                            [.] 0x00000000002ce18d
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x0000000000383007
     0.00%  Xorg             Xorg                                    [.] ChangeGC
     0.00%  sleep            [kernel.kallsyms]                       [k] release_pages
     0.00%  gsd-color        libglib-2.0.so.0.5600.3                 [.] 0x000000000004947d
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] g_slist_foreach@plt
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_paint_volume_set_origin
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x000000000108741c
     0.00%  Compositor       libc-2.27.so                            [.] __memset_avx2_unaligned_erms
     0.00%  chrome           chrome                                  [.] 0x0000000003fa3767
     0.00%  Web Content      libxul.so                               [.] 0x000000000169b074
     0.00%  QtWebEngineProc  perf-474.map                            [.] 0x0000010153236340
     0.00%  perf             [kernel.kallsyms]                       [k] policy_nodemask
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] aa_file_perm
     0.00%  plugin_host      plugin_host                             [.] _Z36send_message_impl_and_wait_for_replyI5valueEvPKvmPT_P11reply_entry
     0.00%  Xorg             [kernel.kallsyms]                       [k] unix_stream_recvmsg
     0.00%  perf             [kernel.kallsyms]                       [k] __do_page_fault
     0.00%  ServiceWorker t  chrome                                  [.] 0x000000000303cce0
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] skb_set_owner_w
     0.00%  sublime_text     [unknown]                               [k] 0xfffffe000008a01e
     0.00%  Xorg             [kernel.kallsyms]                       [k] rw_copy_check_uvector
     0.00%  gsd-power        libglib-2.0.so.0.5600.3                 [.] __errno_location@plt
     0.00%  chrome           [kernel.kallsyms]                       [k] switch_mm
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_rect_clip_scaled
     0.00%  Xorg             modesetting_drv.so                      [.] drmHandleEvent@plt
     0.00%  chrome           [unknown]                               [k] 0xfffffe000000600c
     0.00%  chrome           chrome                                  [.] 0x00000000037be9dc
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000017e9013
     0.00%  chrome           chrome                                  [.] 0x0000000001bc26d0
     0.00%  chrome           chrome                                  [.] 0x00000000034601b0
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000017e6ba9
     0.00%  chrome           libxcb.so.1.1.0                         [.] xcb_poll_for_event
     0.00%  TeamViewer       libQt5Core.so.5.9.5                     [.] 0x00000000002e4032
     0.00%  gnome-terminal-  libcairo.so.2.11510.0                   [.] 0x0000000000044c36
     0.00%  Xorg             modesetting_drv.so                      [.] 0x0000000000009032
     0.00%  chrome           chrome                                  [.] 0x0000000006433d2b
     0.00%  swapper          [kernel.kallsyms]                       [k] lapic_next_deadline
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001bd6925
     0.00%  chrome           chrome                                  [.] 0x0000000006e1ca39
     0.00%  jetbrains-toolb  libQt5Core.so.5.10.1                    [.] 0x00000000002a9d2a
     0.00%  gnome-terminal-  libglib-2.0.so.0.5600.3                 [.] g_hash_table_lookup_extended
     0.00%  gnome-terminal-  libgobject-2.0.so.0.5600.3              [.] g_signal_emit_valist
     0.00%  90captive_porta  libc-2.27.so                            [.] malloc
     0.00%  Xorg             Xorg                                    [.] 0x000000000005ab79
     0.00%  Timer            libxul.so                               [.] 0x00000000008eb320
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010e0c48
     0.00%  Xorg             Xorg                                    [.] 0x000000000005c5fd
     0.00%  chrome           chrome                                  [.] 0x000000000666377c
     0.00%  Web Content      libxul.so                               [.] moz_xmalloc@plt
     0.00%  swapper          [kernel.kallsyms]                       [k] calc_load_nohz_stop
     0.00%  chrome           chrome                                  [.] 0x000000000737cb2a
     0.00%  plugin_host      plugin_host                             [.] 0x0000000000170bcc
     0.00%  chrome           chrome                                  [.] 0x00000000037c0661
     0.00%  Web Content      libxul.so                               [.] 0x0000000003eef7b1
     0.00%  chrome           [kernel.kallsyms]                       [k] __update_load_avg_se.isra.38
     0.00%  chrome           chrome                                  [.] 0x00000000054b96fd
     0.00%  sublime_text     sublime_text                            [.] 0x000000000021af96
     0.00%  sublime_text     sublime_text                            [.] 0x00000000004867a0
     0.00%  gnome-terminal-  libcairo.so.2.11510.0                   [.] 0x00000000000700d0
     0.00%  Web Content      libpthread-2.27.so                      [.] __pthread_mutex_unlock
     0.00%  sublime_text     sublime_text                            [.] 0x0000000000244b12
     0.00%  swapper          [kernel.kallsyms]                       [k] hid_report_raw_event
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] __check_object_size
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] sock_def_readable
     0.00%  chrome           chrome                                  [.] 0x000000000374d277
     0.00%  Chrome_IOThread  chrome                                  [.] 0x0000000001b710b0
     0.00%  Compositor       [kernel.kallsyms]                       [k] plist_add
     0.00%  chrome           chrome                                  [.] 0x0000000003eaa650
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x00000000000b2fd3
     0.00%  chrome           [kernel.kallsyms]                       [k] aa_unix_msg_perm
     0.00%  JS Watchdog      [kernel.kallsyms]                       [k] schedule
     0.00%  firefox          [kernel.kallsyms]                       [k] eventfd_poll
     0.00%  gnome-shell      libharfbuzz.so.0.10702.0                [.] hb_font_funcs_destroy
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] 0x000000000001ffb9
     0.00%  Web Content      [kernel.kallsyms]                       [k] native_queued_spin_lock_slowpath
     0.00%  chrome           [unknown]                               [k] 0xfffffe000013a000
     0.00%  P2P_DISCOVER     libpthread-2.27.so                      [.] pthread_testcancel
     0.00%  sublime_text     libcairo.so.2.11510.0                   [.] 0x0000000000028f8d
     0.00%  chrome           [kernel.kallsyms]                       [k] try_to_wake_up
     0.00%  chrome           [unknown]                               [k] 0xfffffe00000e2046
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x0000000002551260
     0.00%  chrome           chrome                                  [.] 0x0000000003ed1a20
     0.00%  swapper          [kernel.kallsyms]                       [k] intel_pstate_update_util
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010d9688
     0.00%  sublime_text     libgobject-2.0.so.0.5600.3              [.] g_closure_ref
     0.00%  Compositor       chrome                                  [.] 0x0000000003f9dacb
     0.00%  stremio          [kernel.kallsyms]                       [k] do_syscall_64
     0.00%  stremio          [kernel.kallsyms]                       [k] hrtimer_try_to_cancel
     0.00%  swapper          [kernel.kallsyms]                       [k] rcu_irq_enter
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] g_slice_free_chain_with_offset
     0.00%  chrome           chrome                                  [.] 0x000000000370fed1
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x0000000003f9a3e8
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x0000000004325388
     0.00%  swapper          [kernel.kallsyms]                       [k] __indirect_thunk_start
     0.00%  irq/32-iwlwifi   [kernel.kallsyms]                       [k] ieee80211_select_queue
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] pthread_mutex_unlock@plt
     0.00%  pgrep            [kernel.kallsyms]                       [k] alloc_pages_vma
     0.00%  chrome           [kernel.kallsyms]                       [k] __dentry_kill
     0.00%  sublime_text     sublime_text                            [.] 0x0000000000244b54
     0.00%  chrome           libgdk-3.so.0.2200.30                   [.] g_source_get_time@plt
     0.00%  sublime_text     libgobject-2.0.so.0.5600.3              [.] g_param_spec_get_redirect_target
     0.00%  Xorg             Xorg                                    [.] WakeupHandler
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001bd1200
     0.00%  swapper          [kernel.kallsyms]                       [k] nr_iowait_cpu
     0.00%  gnome-shell      libmutter-2.so.0.0.0                    [.] g_type_check_instance_is_a@plt
     0.00%  chrome           [kernel.kallsyms]                       [k] ___sys_recvmsg
     0.00%  90captive_porta  dash                                    [.] 0x0000000000011bf0
     0.00%  swapper          [kernel.kallsyms]                       [k] ironlake_irq_handler
     0.00%  VizCompositorTh  chrome                                  [.] 0x0000000003f5443c
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_plane_helper_check_state
     0.00%  jetbrains-toolb  perf-3425.map                           [.] 0x000016003da86177
     0.00%  stremio          libQt5Widgets.so.5.9.5                  [.] _ZN23QCoreApplicationPrivate10mainThreadEv@plt
     0.00%  InputThread      [kernel.kallsyms]                       [k] intel_legacy_cursor_update
     0.00%  Xorg             [kernel.kallsyms]                       [k] copy_user_generic_unrolled
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_paint_volume_set_height
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] touch_atime
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000d0b30
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] cogl_texture_pixmap_x11_update_area
     0.00%  pgrep            [kernel.kallsyms]                       [k] error_entry
     0.00%  gnome-shell      libmutter-2.so.0.0.0                    [.] meta_cursor_tracker_get_type
     0.00%  chrome           libglib-2.0.so.0.5600.3                 [.] g_ptr_array_remove_range
     0.00%  containerd       containerd                              [.] runtime.timerproc
     0.00%  gnome-shell      libpthread-2.27.so                      [.] pthread_cond_broadcast@@GLIBC_2.3.2
     0.00%  sublime_text     libharfbuzz.so.0.10702.0                [.] 0x00000000000484b0
     0.00%  WebExtensions    libxul.so                               [.] 0x000000000106a309
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x00000000008086ad
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010be0d0
     0.00%  stremio          [kernel.kallsyms]                       [k] ___sys_recvmsg
     0.00%  stremio          [kernel.kallsyms]                       [k] aa_sock_msg_perm
     0.00%  stremio          [kernel.kallsyms]                       [k] check_stack_object
     0.00%  stremio          [kernel.kallsyms]                       [k] default_wake_function
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x0000000000ba31c0
     0.00%  chrome           chrome                                  [.] 0x0000000006e218f0
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x0000000001cc04fd
     0.00%  chrome           chrome                                  [.] 0x00000000032f3efc
     0.00%  chrome           chrome                                  [.] 0x0000000003f24a68
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] __radix_tree_lookup
     0.00%  chrome           chrome                                  [.] 0x00000000032f73d0
     0.00%  TeamViewer       TeamViewer                              [.] pthread_mutex_unlock@plt
     0.00%  stremio          [kernel.kallsyms]                       [k] get_page_from_freelist
     0.00%  TaskSchedulerFo  libpthread-2.27.so                      [.] __clock_gettime@plt
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010d96a8
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] do_sys_open
     0.00%  sublime_text     libcairo.so.2.11510.0                   [.] 0x0000000000022312
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] update_load_avg
     0.00%  JS Helper        [kernel.kallsyms]                       [k] set_task_cpu
     0.00%  Xorg             Xorg                                    [.] EventToXI2
     0.00%  gnome-shell      libmutter-cogl-2.so                     [.] 0x0000000000027edd
     0.00%  chrome           chrome                                  [.] 0x0000000003775ca7
     0.00%  sublime_text     libpthread-2.27.so                      [.] __errno_location
     0.00%  Xorg             Xorg                                    [.] 0x0000000000052e27
     0.00%  chrome           chrome                                  [.] 0x0000000003fa34a0
     0.00%  swapper          [kernel.kallsyms]                       [k] __bitmap_and
     0.00%  chrome           chrome                                  [.] 0x0000000006e7a2b0
     0.00%  chrome           chrome                                  [.] 0x0000000003ed7d73
     0.00%  Web Content      libxul.so                               [.] 0x0000000003ed9e88
     0.00%  swapper          [kernel.kallsyms]                       [k] tick_check_oneshot_broadcast_this_cpu
     0.00%  swapper          [kernel.kallsyms]                       [k] account_entity_enqueue
     0.00%  LIST_LEGACY      dropbox                                 [.] _PyType_Lookup
     0.00%  TaskSchedulerFo  libnssutil3.so                          [.] PORT_ArenaMark_Util
     0.00%  stremio          libc-2.27.so                            [.] __poll
     0.00%  Chrome_IOThread  [kernel.kallsyms]                       [k] aa_sock_msg_perm
     0.00%  Xorg             [kernel.kallsyms]                       [k] dequeue_top_rt_rq
     0.00%  chrome           [kernel.kallsyms]                       [k] copyout
     0.00%  pgrep            ld-2.27.so                              [.] _dl_new_object
     0.00%  TaskSchedulerFo  [kernel.kallsyms]                       [k] do_syscall_64
     0.00%  kworker/3:2      [kernel.kallsyms]                       [k] delete_from_page_cache
     0.00%  gsd-color        libglib-2.0.so.0.5600.3                 [.] 0x00000000000494a5
     0.00%  sublime_text     sublime_text                            [.] 0x0000000000119f30
     0.00%  Xorg             [kernel.kallsyms]                       [k] update_load_avg
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000004638d4
     0.00%  chrome           [kernel.kallsyms]                       [k] __update_idle_core
     0.00%  chrome           chrome                                  [.] 0x0000000003f00b06
     0.00%  Web Content      perf-8938.map                           [.] 0x00003dc651a37b33
     0.00%  gnome-shell      libdconfsettings.so                     [.] 0x00000000000066e7
     0.00%  Web Content      perf-8948.map                           [.] 0x00001db99f43cbff
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_iter_prev
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] kmem_cache_alloc
     0.00%  Web Content      [kernel.kallsyms]                       [k] copy_msghdr_from_user
     0.00%  swapper          [kernel.kallsyms]                       [k] next_online_pgdat
     0.00%  Web Content      libxul.so                               [.] 0x00000000010abbc0
     0.00%  gsd-xsettings    libglib-2.0.so.0.5600.3                 [.] g_main_context_check
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] 0x000000000005cd99
     0.00%  Web Content      libxul.so                               [.] 0x000000000430e193
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001bef4c0
     0.00%  snapd            snapd                                   [.] 0x0000000000700a40
     0.00%  swapper          [kernel.kallsyms]                       [k] tick_program_event
     0.00%  chrome           chrome                                  [.] 0x0000000006c1cadc
     0.00%  chrome           chrome                                  [.] 0x0000000007224690
     0.00%  stremio          [kernel.kallsyms]                       [k] __sb_end_write
     0.00%  90captive_porta  [kernel.kallsyms]                       [k] alloc_pid
     0.00%  Compositor       [kernel.kallsyms]                       [k] enter_lazy_tlb
     0.00%  gnome-terminal-  libgobject-2.0.so.0.5600.3              [.] g_type_check_instance_is_a
     0.00%  Chrome_ChildIOT  [kernel.kallsyms]                       [k] __switch_to
     0.00%  Chrome_ChildIOT  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000017bea94
     0.00%  JS Helper        libmozjs-52.so.0.0.0                    [.] 0x00000000004801c7
     0.00%  swapper          [kernel.kallsyms]                       [k] usb_hcd_map_urb_for_dma
     0.00%  Web Content      [kernel.kallsyms]                       [k] __wake_up_common
     0.00%  stremio          libQt5XcbQpa.so.5.9.5                   [.] 0x000000000009d1e8
     0.00%  Compositor       [kernel.kallsyms]                       [k] read_tsc
     0.00%  stremio          libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001066a48
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x000000000440395a
     0.00%  stremio          [kernel.kallsyms]                       [k] poll_select_set_timeout
     0.00%  node             libuv.so.1.0.0                          [.] __errno_location@plt
     0.00%  chrome           chrome                                  [.] 0x0000000003454270
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                    [.] 0x00000000001a02a7
     0.00%  chrome           chrome                                  [.] 0x000000000676a101
     0.00%  Web Content      perf-8938.map                           [.] 0x00003dc651ab0086
     0.00%  sublime_text     sublime_text                            [.] 0x0000000000212f08
     0.00%  chrome           chrome                                  [.] 0x0000000001a541c6
     0.00%  chrome           chrome                                  [.] 0x0000000003efde00
     0.00%  gnome-shell      libGLdispatch.so.0.0.0                  [.] 0x0000000000040357
     0.00%  Compositor       libQt5WebEngineCore.so.5.9.5            [.] pthread_condattr_init@plt
     0.00%  JS Helper        [unknown]                               [k] 0xfffffe00000b601b
     0.00%  chrome           chrome                                  [.] 0x000000000685bde8
     0.00%  Xorg             [kernel.kallsyms]                       [k] schedule
     0.00%  kworker/u16:68   [kernel.kallsyms]                       [k] ilk_program_watermarks
     0.00%  sublime_text     sublime_text                            [.] 0x00000000000a6eeb
     0.00%  sublime_text     sublime_text                            [.] 0x00000000001f6d1e
     0.00%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_parent
     0.00%  Xorg             [kernel.kallsyms]                       [k] ktime_get
     0.00%  Web Content      libxul.so                               [.] 0x00000000008f7002
     0.00%  gnome-shell      libGLX_mesa.so.0.0.0                    [.] pthread_mutex_lock@plt
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] __fget
     0.00%  stremio          libQt5Core.so.5.9.5                     [.] 0x00000000002e3551
     0.00%  snapd            snapd                                   [.] 0x000000000086056d
     0.00%  kworker/u16:68   [kernel.kallsyms]                       [k] fw_domains_get
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x00000000010bb9f0
     0.00%  Web Content      [kernel.kallsyms]                       [k] security_socket_recvmsg
     0.00%  gsd-color        [kernel.kallsyms]                       [k] unix_stream_read_generic
     0.00%  ibus-daemon      libglib-2.0.so.0.5600.3                 [.] g_variant_builder_init
     0.00%  Compositor       chrome                                  [.] _fini
     0.00%  JS Helper        libmozjs-52.so.0.0.0                    [.] 0x0000000000733e60
     0.00%  Web Content      firefox                                 [.] moz_arena_malloc
     0.00%  QXcbEventReader  [kernel.kallsyms]                       [k] switch_mm_irqs_off
     0.00%  sublime_text     libglib-2.0.so.0.5600.3                 [.] g_utf8_strlen
     0.00%  Chrome_ChildIOT  libpthread-2.27.so                      [.] __pthread_disable_asynccancel
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5            [.] 0x0000000001085680
     0.00%  gnome-shell      [kernel.kallsyms]                       [k] sys_writev
     0.00%  Chrome_ChildIOT  chrome                                  [.] 0x00000000043d6fce
     0.00%  sublime_text     [kernel.kallsyms]                       [k] _copy_from_user
     0.00%  swapper          [kernel.kallsyms]                       [k] ttwu_do_activate
     0.00%  Xorg             [kernel.kallsyms]                       [k] __radix_tree_create
