v8-version,6,2,414,75,0
code-creation,Builtin,5,3097,0x1ef25865c6e0,4768,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,3098,0x1ef25865d9e0,2764,"ArrayMap"
code-creation,Builtin,5,3099,0x1ef25865e520,2912,"ArrayMapLoopContinuation"
code-creation,Builtin,5,3100,0x1ef25865f0e0,1761,"ArrayEvery"
code-creation,Builtin,5,3100,0x1ef25865f840,2960,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,3101,0x1ef258660440,1737,"ArraySome"
code-creation,Builtin,5,3102,0x1ef258660b80,2944,"ArraySomeLoopContinuation"
code-creation,Builtin,5,3103,0x1ef258661760,1643,"ArrayReduce"
code-creation,Builtin,5,3104,0x1ef258661e40,2952,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,3105,0x1ef258662a40,1788,"ArrayReduceRight"
code-creation,Builtin,5,3106,0x1ef2586631a0,2904,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,3107,0x1ef258663d60,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,3108,0x1ef2586649a0,47,"NumberConstructor"
code-creation,Builtin,5,3108,0x1ef258664a40,241,"ToNumber"
code-creation,Builtin,5,3109,0x1ef258664ba0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,3110,0x1ef258664ce0,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,3111,0x1ef258664d60,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,3112,0x1ef258664de0,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,3113,0x1ef258664e60,15,"NumberPrototypeToString"
code-creation,Builtin,5,3114,0x1ef258664ee0,127,"NumberPrototypeValueOf"
code-creation,Builtin,5,3115,0x1ef258664fc0,72,"NumberIsFinite"
code-creation,Builtin,5,3116,0x1ef258665080,320,"NumberIsInteger"
