v8-version,7,0,276,38,-node.18,0
code-creation,Builtin,3,2407,0x3e63c3b1da40,15,StrictPoisonPillThrower
code-creation,Builtin,3,2411,0x3e63c3b1daa0,15,UnsupportedThrower
code-creation,Builtin,3,2416,0x3e63c3b1db00,36,ArrayConstructor
code-creation,Builtin,3,2421,0x3e63c3b1db80,467,ArrayConstructorImpl
code-creation,Builtin,3,2426,0x3e63c3b1dda0,243,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2431,0x3e63c3b1dee0,243,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2437,0x3e63c3b1e020,207,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2443,0x3e63c3b1e140,207,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2450,0x3e63c3b1e260,207,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2456,0x3e63c3b1e380,207,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2462,0x3e63c3b1e4a0,219,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2468,0x3e63c3b1e5c0,219,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2475,0x3e63c3b1e6e0,571,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2481,0x3e63c3b1e960,535,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2487,0x3e63c3b1ebc0,499,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2494,0x3e63c3b1ee00,459,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2500,0x3e63c3b1f020,499,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2507,0x3e63c3b1f260,459,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2513,0x3e63c3b1f480,507,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2523,0x3e63c3b1f6c0,463,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2533,0x3e63c3b1f8e0,72,ArrayNArgumentsConstructor
code-creation,Builtin,3,2540,0x3e63c3b1f980,9,InternalArrayConstructor
code-creation,Builtin,3,2546,0x3e63c3b1f9e0,110,InternalArrayConstructorImpl
code-creation,Builtin,3,2554,0x3e63c3b1faa0,199,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,2562,0x3e63c3b1fbc0,199,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,2571,0x3e63c3b1fce0,503,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,2576,0x3e63c3b1ff20,459,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,2582,0x3e63c3b20140,15,ArrayConcat
code-creation,Builtin,3,2586,0x3e63c3b201a0,15,ArrayPrototypeFill
code-creation,Builtin,3,2591,0x3e63c3b20200,956,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2596,0x3e63c3b20600,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2601,0x3e63c3b206c0,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2606,0x3e63c3b207c0,880,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2610,0x3e63c3b20b80,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2617,0x3e63c3b20c40,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2635,0x3e63c3b20d00,15,ArrayPop
code-creation,Builtin,3,2644,0x3e63c3b20d60,15,ArrayPush
code-creation,Builtin,3,2652,0x3e63c3b20dc0,15,ArrayShift
code-creation,Builtin,3,2660,0x3e63c3b20e20,15,ArraySplice
code-creation,Builtin,3,2667,0x3e63c3b20e80,15,ArrayUnshift
code-creation,Builtin,3,2676,0x3e63c3b20ee0,1372,CloneFastJSArray
code-creation,Builtin,3,2684,0x3e63c3b21480,1394,ExtractFastJSArray
tick,0x7f423b1ae9fc,2692,0,0x0,6
code-creation,Builtin,3,2706,0x3e63c3b21a40,3056,ArrayEveryLoopContinuation
code-creation,Builtin,3,2715,0x3e63c3b22680,134,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,2720,0x3e63c3b22760,492,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,2726,0x3e63c3b229a0,3044,ArraySomeLoopContinuation
code-creation,Builtin,3,2731,0x3e63c3b235e0,134,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,2736,0x3e63c3b236c0,484,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,2743,0x3e63c3b23900,5012,ArrayFilterLoopContinuation
code-creation,Builtin,3,2748,0x3e63c3b24ce0,134,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,2754,0x3e63c3b24dc0,758,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,2760,0x3e63c3b25100,2936,ArrayMapLoopContinuation
code-creation,Builtin,3,2765,0x3e63c3b25cc0,134,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,2770,0x3e63c3b25da0,380,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,2776,0x3e63c3b25f60,2976,ArrayReduceLoopContinuation
code-creation,Builtin,3,2781,0x3e63c3b26b40,130,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,2786,0x3e63c3b26c20,134,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,2792,0x3e63c3b26d00,134,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,2798,0x3e63c3b26de0,2912,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,2803,0x3e63c3b27980,146,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,2809,0x3e63c3b27a60,134,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,2814,0x3e63c3b27b40,134,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,2820,0x3e63c3b27c20,628,ArrayFindLoopContinuation
code-creation,Builtin,3,2825,0x3e63c3b27ee0,134,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,2830,0x3e63c3b27fc0,134,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,2836,0x3e63c3b280a0,293,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2842,0x3e63c3b28220,620,ArrayFindIndexLoopContinuation
